"video_id","title","published_date","duration","views","likes","comments","episode_type","guest_name","genre","video_link"
129,"LIVE EVENT Q&A: Dr. Andrew Huberman Question & Answer in New York, NY","2022-12-14","00:47:17",139760,3568,255,"Live Event Q&A","Dr. Andrew Huberman","Live Event","https://youtu.be/uwWOc_RqTBA?si=AZg2FFGopV2p8tQn"
130,"Dr. Kyle Gillett: Tools for Hormone Optimization in Males | Huberman Lab Podcast 102","2022-12-12","02:24:18",984197,21452,1249,"Guest Episode","Dr. Kyle Gillett","Fertility | Hormone Health","https://youtu.be/O640yAgq5f8"
131,"AMA #2: Improve Sleep, Reduce Sugar Cravings, Optimal Protein Intake, Stretching Frequency & More","2022-12-08","00:30:31",313215,8073,403,"AMA","Dr. Andrew Huberman","Nutrition | Fitness & Recovery | Sleep","https://youtu.be/vZ4kOr38JhY"
132,"Using Caffeine to Optimize Mental & Physical Performance | Huberman Lab Podcast 101","2022-12-05","02:22:36",902090,17495,1394,"Solo Episode","Dr. Andrew Huberman","Supplements | Focus, Productivity & Creativity | Learning & Memory | Caffeine Science","https://youtu.be/iw97uvIge7c"
133,"Dr Lex Fridman: Navigating Conflict, Finding Purpose & Maintaining Drive | Huberman Lab Podcast #100","2022-11-28","02:41:46",1294897,24558,2280,"Guest Episode","Dr Lex Fridman","ADHD, Drive & Motivation | Emotions & Relationships","https://youtu.be/6I5I56uVvLw"
134,"Dr. Chris Palmer: Diet & Nutrition for Mental Health | Huberman Lab Podcast #99","2022-11-21","03:03:42",4891246,53968,3692,"Guest Episode","Dr. Chris Palmer","Mental Health & Addiction | Nutrition","https://youtu.be/xjEFo3a1AnI"
135,"Science-Based Tools for Increasing Happiness | Huberman Lab Podcast #98","2022-11-14","02:23:44",1548613,21535,1331,"Solo Episode","Dr. Andrew Huberman","The Science of Well-being","https://youtu.be/LTGGyQS1fZE"
136,"LIVE EVENT Q&A: Dr. Andrew Huberman Question & Answer in Los Angeles, CA","2022-11-09","01:03:38",117442,3031,199,"Live Event Q&A","Dr. Andrew Huberman","Live Event","https://youtu.be/TO0WUTq5zYI?si=IWr7G2ktwRvPAReO"
137,"Dr Layne Norton: The Science of Eating for Health, Fat Loss & Lean Muscle | Huberman Lab Podcast #97","2022-11-07","03:49:35",6855080,65704,2983,"Guest Episode","Dr Layne Norton","Nutrition","https://youtu.be/K4Ze-Sp6aUE"
138,"AMA #1: Leveraging Ultradian Cycles, How to Protect Your Brain, Seed Oils Examined and More","2022-11-02","00:24:57",182244,5280,261,"AMA","Dr. Andrew Huberman","Aging & Longevity | Nutrition | Focus, Productivity & Creativity","https://youtu.be/lsODSDmY4CY"
139,"How Meditation Works & Science-Based Effective Meditations | Huberman Lab Podcast #96","2022-10-31","02:26:02",5148276,82082,3848,"Solo Episode","Dr. Andrew Huberman","Neuroplasticity, Habits & Goals | NSDR, Meditation & Rest","https://youtu.be/wTBSGgbIvsY"
140,"Dr. Eddie Chang: The Science of Learning & Speaking Languages | Huberman Lab Podcast #95","2022-10-24","02:34:24",364157,9274,519,"Guest Episode","Dr. Eddie Chang","Learning & Memory | Neuroplasticity, Habits & Goals | Neurobiology & Physiology","https://youtu.be/Z7MU6zrAXsM"
141,"Fitness Toolkit: Protocol & Tools to Optimize Physical Health | Huberman Lab Podcast #94","2022-10-17","01:57:50",1381929,26262,1307,"Solo Episode","Dr. Andrew Huberman","Fitness & Recovery","https://youtu.be/q1Ss8sTbFBY"
142,"Dr. Nolan Williams: Psychedelics & Neurostimulation for Brain Rewiring | Huberman Lab Podcast #93","2022-10-10","02:48:55",368641,8476,981,"Guest Episode","Dr. Nolan Williams","Neuroplasticity, Habits & Goals | Mental Health & Addiction","https://youtu.be/X4QE6t-MkYE"
143,"The Effects of Cannabis (Marijuana) on the Brain & Body | Huberman Lab Podcast #92","2022-10-03","02:47:38",3077072,69982,9277,"Solo Episode","Dr. Andrew Huberman","Alcohol, Tobacco & Cannabis","https://youtu.be/gXvuJu1kt48"
144,"Dr. Casey Halpern: Biology & Treatments for Compulsive Eating & Behaviors | Huberman Lab Podcast #91","2022-09-26","02:14:35",258554,6022,504,"Guest Episode","Dr. Casey Halpern","Mental Health & Addiction","https://youtu.be/Nr5xb-QCBGA"
145,"Nicotine’s Effects on the Brain & Body & How to Quit Smoking or Vaping | Huberman Lab Podcast #90","2022-09-19","01:53:37",1390690,29788,3322,"Solo Episode","Dr. Andrew Huberman","Mental Health & Addiction | Alcohol, Tobacco & Cannabis","https://youtu.be/uXs-zPc63kM"
146,"Dr. David Anderson: The Biology of Aggression, Mating, & Arousal | Huberman Lab Podcast #89","2022-09-12","01:55:35",196885,4735,486,"Guest Episode","Dr. David Anderson","Emotions & Relationships","https://youtu.be/uxZFl4BDOGk"
147,"Focus Toolkit: Tools to Improve Your Focus & Concentration | Huberman Lab Podcast #88","2022-09-05","01:51:31",1213756,31272,1272,"Solo Episode","Dr. Andrew Huberman","Focus, Productivity & Creativity","https://youtu.be/yb5zpo5WDG4"
148,"LIVE EVENT Q&A: Dr. Andrew Huberman Question & Answer in Portland, OR","2022-08-31","00:51:31",101288,3121,227,"Live Event Q&A","Dr. Andrew Huberman","Live Event","https://youtu.be/3_auLYOilb8?si=RIb9NgsqNhclONYM"
149,"Dr. Erich Jarvis: The Neuroscience of Speech, Language & Music | Huberman Lab Podcast #87","2022-08-29","01:54:20",194575,5717,643,"Guest Episode","Dr. Erich Jarvis","Neurobiology & Physiology","https://youtu.be/LVxL_p_kToc"
150,"What Alcohol Does to Your Body, Brain & Health | Huberman Lab Podcast #86","2022-08-22","02:01:02",6690113,127910,11131,"Solo Episode","Dr. Andrew Huberman","Alcohol, Tobacco & Cannabis","https://youtu.be/DkS1pkKpILY"
151,"LIVE EVENT Q&A: Dr. Andrew Huberman Question & Answer in Seattle, WA","2022-08-17","00:56:05",155305,5061,396,"Live Event Q&A","Dr. Andrew Huberman","Live Event","https://youtu.be/2Ds1m5gflCI?si=ztuH5VKxHAxTnxyO"
152,"Dr. Peter Attia: Exercise, Nutrition, Hormones for Vitality & Longevity","2022-08-15","02:50:03",1769536,31567,1804,"Guest Episode","Dr. Peter Attia","Fitness & Recovery | Aging & Longevity","https://youtu.be/DTCmprPCDqc"
153,"Sleep Toolkit: Tools for Optimizing Sleep & Sleep-Wake Timing | Huberman Lab Podcast #84","2022-08-08","01:41:55",1983228,46091,2210,"Solo Episode","Dr. Andrew Huberman","Light Exposure & Circadian Rhythm | Sleep","https://youtu.be/h2aWYjSA1Jc"
154,"Dr. Emily Balcetis: Tools for Setting & Achieving Goals | Huberman Lab Podcast #83","2022-08-01","01:38:18",443447,12029,697,"Guest Episode","Dr. Emily Balcetis","Neuroplasticity, Habits & Goals","https://youtu.be/7YGZZcXqKxE"
155,"The Science & Treatment of Bipolar Disorder | Huberman Lab Podcast #82","2022-07-25","02:19:41",928677,19972,2956,"Solo Episode","Dr. Andrew Huberman","Mental Health & Addiction","https://youtu.be/m_OazsImOiI"
156,"Dr. Charles Zuker: The Biology of Taste Perception & Sugar Craving | Huberman Lab Podcast #81","2022-07-18","02:17:38",167738,4232,513,"Guest Episode","Dr. Charles Zuker","Neurobiology & Physiology | Nutrition","https://youtu.be/UChhXiFPRgg"
157,"Optimize & Control Your Brain Chemistry to Improve Health & Performance | Huberman Lab Podcast #80","2022-07-11","02:09:01",556105,13226,990,"Solo Episode","Dr. Andrew Huberman","Neurobiology & Physiology","https://youtu.be/T65RDBiB5Hs"
158,"Jeff Cavaliere: Optimize Your Exercise Program with Science-Based Tools | Huberman Lab Podcast #79","2022-07-04","02:40:47",2432258,35925,1999,"Guest Episode","Jeff Cavaliere","Fitness & Recovery","https://youtu.be/UNCwdFxPtE8"
159,"The Science & Treatment of Obsessive Compulsive Disorder (OCD) | Huberman Lab Podcast #78","2022-06-27","02:33:36",701812,13859,1624,"Solo Episode","Dr. Andrew Huberman","Mental Health & Addiction","https://youtu.be/OadokY8fcAA"
160,"Ido Portal: The Science & Practice of Movement | Huberman Lab Podcast #77","2022-06-20","02:34:37",435795,11281,1317,"Guest Episode","Ido Portal","Fitness & Recovery | Neurobiology & Physiology","https://youtu.be/a9yFKPmPZ90"
